Composer,Nationality,Period,Wikipedia
Alberto Ginastera,Argentine,20th,http://en.wikipedia.org/wiki/Alberto_Ginastera
Anton_n Dvo__k,Czech,Romantic,http://en.wikipedia.org/wiki/Anton%C3%ADn_Dvo__k
Antonio Vivaldi,Italy,Baroque,http://en.wikipedia.org/wiki/Antonio_Vivaldi
Cihat Askin,Turko,21th,http://tr.wikipedia.org/wiki/Cihat_A_k_n
Claude Achille Debussy,France,Romantic,http://en.wikipedia.org/wiki/Claude_Debussy
Craig Armstrong,Scotland,21th,http://en.wikipedia.org/wiki/Craig_Armstrong_(composer)
Domenico Cimarosa,Italy,Classical,http://en.wikipedia.org/wiki/Domenico_Cimarosa
Eduard Strauss,Austria,Romantic,http://en.wikipedia.org/wiki/Eduard_Strauss
Edvard Grieg,Norway,Romantic,http://en.wikipedia.org/wiki/Edvard_Grieg
Edward Elgar,England,Romantic,http://en.wikipedia.org/wiki/Edward_Elgar
Franz Liszt,Germany,Romantic,http://en.wikipedia.org/wiki/Franz_Liszt
Franz Schubert,Austria,Romantic,http://en.wikipedia.org/wiki/Franz_Schubert
Franz von Suppe,Austria,Romantic,http://en.wikipedia.org/wiki/Franz_von_Supp_
Fr_d_ric Botton,France,20th,http://en.wikipedia.org/wiki/Fr_d_ric_Botton
Frederic Chopin,Poland,Romantic,http://en.wikipedia.org/wiki/Fr_d_ric_Chopin
Georges Bizet,France,Romantic,http://en.wikipedia.org/wiki/Georges_Bizet
Giovanni Battista Pergolesi,Italy,Classical,http://en.wikipedia.org/wiki/Giovanni_Battista_Pergolesi
Gustav Holst,England,Romantic,http://en.wikipedia.org/wiki/Gustav_Holst
Hans Christian Lumbye,Denmark,Romantic,http://en.wikipedia.org/wiki/Hans_Christian_Lumbye
James Horner,America,21th,http://en.wikipedia.org/wiki/James_Horner
Jerry Goldsmith,America,20th,http://en.wikipedia.org/wiki/Jerry_Goldsmith
Joaquin Rodrigo,Spain,20th,http://en.wikipedia.org/wiki/Joaqu%C3%ADn_Rodrigo
Johann Sebastian Bach,Germany,Baroque,http://en.wikipedia.org/wiki/Johann_Sebastian_Bach
Johann Strauss_I,Austria,Romantic,http://en.wikipedia.org/wiki/Johann_Strauss_I
Johann Strauss_II,Austria,Romantic,http://en.wikipedia.org/wiki/Johann_Strauss_II
Johannes Brahms,Germany,Romantic,http://en.wikipedia.org/wiki/Johannes_Brahms
John Barry,England,20th,http://en.wikipedia.org/wiki/John_Barry_(composer)
John Field,Ireland,Romantic,http://en.wikipedia.org/wiki/John_Field_(composer)
John Philip Sousa,America,Modern,http://en.wikipedia.org/wiki/John_Philip_Sousa
Josef Strauss,Austria,Romantic,http://en.wikipedia.org/wiki/Josef_Strauss
Joseph Haydn,Austria,Classical,http://en.wikipedia.org/wiki/Joseph_Haydn
Kenneth Joseph Alford,England,Modern,http://en.wikipedia.org/wiki/Kenneth_J._Alford
Ludwig van Beethoven,Germany,Classical,http://en.wikipedia.org/wiki/Ludwig_van_Beethoven
Nino Rota,Italy,20th,http://en.wikipedia.org/wiki/Nino_Rota
Pyotr Ilyich Tchaikovsky,Russia,Romantic,http://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky
Richard Wagner,Germany,Romantic,http://en.wikipedia.org/wiki/Richard_Wagner
Steve Reich,America,20th,http://en.wikipedia.org/wiki/Steve_Reich
Tomaso Albinoni,Italy,Baroque,http://en.wikipedia.org/wiki/Tomaso_Albinoni
Vladimir Cosma,Romania,20th,http://en.wikipedia.org/wiki/Vladimir_Cosma
Wolfgang Amadeus Mozart,Austria,Classical,http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart
